Código do alimento,Descrição do alimento,Código da preparação,Descrição da preparação,Energia (kcal),Proteína (g),Lipídios totais (g),Carboidrato (g),Fibra alimentar total (g),Colesterol (mg),AG Saturados (g),AG Mono (g),AG Poli (g),AG Linoléico (g),AG Linolênico (g),AG Trans total(g),Açúcar total (g),Açúcar de adição (g),Cálcio (mg),Magnésio (mg),Manganês (mg),Fósforo (mg),Ferro (mg),Sódio (mg),Sódio de adição (mg),Potássio (mg),Cobre (mg),Zinco (mg),Selênio (mcg),Retinol (mcg),Vitamina A (RAE) (mcg),Tiamina (mg),Riboflavina (mg),Niacina (mg),Niacina (NE) (mg),Piridoxina (mg),Cobalamina (mcg),Folato (DFE) (mcg),Vitamina D (mcg),Vitamina E (mg),Vitamina C (mg),Grupo Alimentar
7703402,Atum em conserva,99.0,Não se aplica,198,29.13,8.21,-,-,18,1.53,2.95,2.89,2.68,0.07,-,-,-,13,31,0.02,311,1.39,354,-,207,0.07,0.9,76,23,23,0.04,0.12,12.4,17.83,0.11,2.2,5,5.9,0.87,-,11
7703701,Pepino em conserva,99.0,Não se aplica,12,0.6,0.14,2.59,1.1,-,0.036,0.002,0.056,0.024,0.032,-,1.31,-,42,7,0.047,12,0.37,875,-,92,0.033,0.11,0.1,-,9.167,0.027,0.029,0.099,0.182,0.023,-,1,-,0.09,0.8,11
7703902,Pasta de peixe em conserva,99.0,Não se aplica,198,29.13,8.21,-,-,18,1.534,2.949,2.885,2.683,0.074,-,-,-,13,31,0.015,311,1.39,354,-,207,0.071,0.9,76,23,23,0.038,0.12,12.4,17.833,0.11,2.2,5,5.9,0.87,-,11
7704001,Picles,99.0,Não se aplica,12,0.6,0.14,2.59,1.1,-,0.036,0.002,0.056,0.024,0.032,-,1.31,-,42,7,0.047,12,0.37,875,-,92,0.033,0.11,0.1,-,9.167,0.027,0.029,0.099,0.182,0.023,-,1,-,0.09,0.8,11
7705201,Nabo em conserva,99.0,Não se aplica,43.259,0.873,0.188,9.939,1.586,-,0.019,0.068,0.058,0.021,0.037,-,8.564,3.97,24.579,10.176,0.127,25.372,0.28,195.296,-,163.651,0.064,0.233,0.845,-,9.89,0.037,0.031,0.36,0.526,0.095,-,15.547,-,0.128,22.976,11
7705401,Strogonoff ,99.0,Não se aplica,147.675,12.828,9.107,4.125,0.439,33.44,3.807,2.976,1.53,1.293,0.228,0.29,1.595,0.382,25.126,12.808,0.052,106.16,1.33,354.233,-,198.48,0.103,2.127,15.236,31.984,33.639,0.059,0.144,2.925,4.46,0.187,0.695,11.922,0.409,0.47,1.442,11
7706001,Salmão em conserva,99.0,Não se aplica,136,23.08,4.83,-,-,82,0.848,0.887,1.345,0.066,0.06,-,-,-,277,34,0.039,365,0.9,399,-,311,0.156,1.09,39.5,23,23,0.027,0.202,7.409,11.526,0.105,4.95,4,11.65,1.28,-,11
7706104,Creme de cebola (sopa desidratada) light,99.0,Não se aplica,46.312,0.821,2.471,5.341,0.203,5.95,0.793,0.84,0.689,0.657,0.029,0.294,2.669,-,59.194,7.765,0.038,43.218,0.162,374.688,-,89.414,0.019,0.224,1.888,14.682,15.167,0.038,0.067,0.146,0.36,0.044,0.075,7.51,0.024,0.245,1.255,11
7706105,Creme de legumes (sopa desidratada) light,99.0,Não se aplica,10.548,0.484,0.023,2.152,0.225,-,0.004,0.002,0.01,0.008,0.002,-,0.365,-,6.519,3.026,0.026,6.296,0.065,289.56,-,22.675,0.016,0.046,0.431,-,14.019,0.01,0.005,0.077,0.171,0.02,-,2.379,-,0.026,1.585,11
7706106,Yakissoba (sopa de legumes desidratada) light,99.0,Não se aplica,80.041,3.005,0.471,15.606,0.967,-,0.089,0.067,0.163,0.15,0.012,-,0.351,-,7.414,10.704,0.171,30.946,0.672,398.229,-,30.619,0.062,0.28,13.194,-,5.071,0.138,0.069,0.858,1.573,0.027,-,62.663,-,0.039,0.233,11
7706302,Atum em conserva light,99.0,Não se aplica,116,25.51,0.82,-,-,30,0.234,0.159,0.337,0.009,0.002,-,-,-,11,27,0.011,163,1.53,338,-,237,0.051,0.77,80.4,17,17,0.032,0.074,13.28,18.047,0.35,2.99,4,4,0.33,-,11
7800103,Frango inteiro,1.0,Cru(a),239,27.3,13.6,-,-,88,3.79,5.34,2.97,2.57,0.11,0.45,-,-,15,23,0.02,182,1.26,82,333,223,0.066,1.94,23.9,48,48,0.063,0.168,8.487,13.57,0.4,0.3,5,0.3,0.27,-,12
7800103,Frango inteiro,2.0,Cozido(a),239,27.3,13.6,-,-,88,3.79,5.34,2.97,2.57,0.11,0.45,-,-,15,23,0.02,182,1.26,82,333,223,0.066,1.94,23.9,48,48,0.063,0.168,8.487,13.57,0.4,0.3,5,0.3,0.27,-,12
